industry,category_kr,brand,copy,date,url,src
healthcare_pharma,제약/의료/복지,센트룸 구미,건강은 챙겨야하고 맛없는 건 먹기 싫은 어른이들을 위해,2024-08-01,https://play.tvcf.co.kr/953731,AUG_240907
finance,금융/보험,LS증권 투혼,차가운 고수들의 투자 플랫폼,2024-08-01,https://play.tvcf.co.kr/954385,AUG_240907
finance,금융/보험,KB손해보험 다이렉트,음주운전은 부끄러운 게 아닙니다. 범죄입니다.,2024-08-01,https://play.tvcf.co.kr/954652,AUG_240907
beauty,화장품,CJ 올리브영,클린 뷰티 다정공식 완성!,2024-08-01,https://play.tvcf.co.kr/954339,AUG_240907
retail,서비스/유통/레저,홈플러스,또 한번 뛰어야 가볍게 산다.,2024-08-01,https://play.tvcf.co.kr/954378,AUG_240907
finance,금융/보험,현대해상,아이를 통해 행복을 키우는 세상,2024-08-01,https://play.tvcf.co.kr/954270,AUG_240907
public_gov,관공서/단체,한국수력원자력,새로운 에너지 세상을 만들다,2024-08-01,https://play.tvcf.co.kr/953767,AUG_240907
public_gov,관공서/단체,포카리스웨트 온열질환 예방 캠페인,여름을 보내는 방법은 달라도 여름을 지키는 방법은 같다.,2024-08-01,https://play.tvcf.co.kr/954381,AUG_240907
corporate_pr,기업PR,티타임A1,티타임 A1으로 쉽게 창업하세요.,2024-08-01,https://play.tvcf.co.kr/954419,AUG_240907
healthcare_pharma,제약/의료/복지,코스네이처,작은 한 알이지만 인류에겐 도약,2024-08-01,https://play.tvcf.co.kr/954626,AUG_240907
beverage_alcohol,음료/기호식품,켈리,부드러운 첫맛에 한 번. 강렬한 끝맛에 두 번.,2024-08-01,https://play.tvcf.co.kr/954359,AUG_240907
finance,금융/보험,캐롯손해보험,한 번 캐롯하면 다시 캐롯할 수밖에,2024-08-01,https://play.tvcf.co.kr/952927,AUG_240907
beverage_alcohol,음료/기호식품,카스,"대한민국 승리의 소리로, 진짜가 되는 시간",2024-08-01,https://play.tvcf.co.kr/954421,AUG_240907
public_gov,관공서/단체,전통시장 온누리상품권,"쓰던 카드 그대로, 대한민국 행복충전",2024-08-01,https://play.tvcf.co.kr/954357,AUG_240907
public_gov,관공서/단체,월드비전 글로벌 6K,나의 글로벌 6K,2024-08-01,https://play.tvcf.co.kr/954404,AUG_240907
beverage_alcohol,음료/기호식품,아르포텐 포스,아르포텐 포슨데요,2024-08-01,https://play.tvcf.co.kr/954275,AUG_240907
public_gov,관공서/단체,식품의약품안전처 마약중독 캠페인,"마약을 이기는 힘. 용기 한 걸음, 함께 한 걸음.",2024-08-01,https://play.tvcf.co.kr/954354,AUG_240907
beauty,화장품,스템앤셀,주름잡자,2024-08-01,https://play.tvcf.co.kr/955039,AUG_240907
public_gov,관공서/단체,서울특별시의사회,지켜주십시오. 공정 정의 상식.,2024-08-01,https://play.tvcf.co.kr/954394,AUG_240907
telecom,정보통신,삼성 갤럭시 워치 울트라,Go Ultra Challenge,2024-08-01,https://play.tvcf.co.kr/954355,AUG_240907
fnb,식품/제과,사세,삼천맛 흥행 사세 버팔로,2024-08-01,https://play.tvcf.co.kr/954138,AUG_240907
public_gov,관공서/단체,사랑의 열매,폼 나는 나눔 플랫폼,2024-08-01,https://play.tvcf.co.kr/954295,AUG_240907
corporate_pr,기업PR,빙그레,처음 입는 광복,2024-08-01,https://play.tvcf.co.kr/954376,AUG_240907
corporate_pr,기업PR,보건복지부,그래도… 매일 매일이 감탄!,2024-08-01,https://play.tvcf.co.kr/952911,AUG_240907
fnb,식품/제과,버거킹,"버거킹, 더 맛있더라구",2024-08-01,https://play.tvcf.co.kr/954390,AUG_240907
public_gov,관공서/단체,방송통신심의위원회,허위 정보가 영향을 주지 않도록,2024-08-01,https://play.tvcf.co.kr/954387,AUG_240907
education,출판/교육/문화,미래엔,미래엔 클래스가 다르다!,2024-08-01,https://play.tvcf.co.kr/954334,AUG_240907
finance,금융/보험,미래신용정보,채권 회수는 미래적으로,2024-08-01,https://play.tvcf.co.kr/954412,AUG_240907
beverage_alcohol,음료/기호식품,몽베스트 블랜딩 콤부차,"taste, best",2024-08-01,https://play.tvcf.co.kr/950138,AUG_240907
home_appliance,전기전자,메디큐브 에이지알,전문 고주파가 만드는 압도적 탄력 개선,2024-08-01,https://play.tvcf.co.kr/954744,AUG_240907
beauty,화장품,딘토,"아름다움의 깊이, 딘토",2024-08-01,https://play.tvcf.co.kr/954271,AUG_240907
healthcare_pharma,제약/의료/복지,둘코락스,변비가 당신의 하루를 막고 있다면,2024-08-01,https://play.tvcf.co.kr/954342,AUG_240907
telecom,정보통신,넷플릭스,요즘 넷플 뭐 봄?,2024-08-01,https://play.tvcf.co.kr/954401,AUG_240907
education,출판/교육/문화,YBM Y클라우드,뉴스포츠 교육이 필요한 순간,2024-08-01,https://play.tvcf.co.kr/957496,AUG_240907
healthcare_pharma,제약/의료/복지,안정액,안정이 세상을 구한다,2024-08-01,https://play.tvcf.co.kr/954328,AUG_240907
healthcare_pharma,제약/의료/복지,코스네이처,영양소 만원입니다,2024-08-01,https://play.tvcf.co.kr/954622,AUG_240907
home_appliance,전기전자,LG 시네빔 큐브,당신의 세상을 움직이다,2024-08-02,https://play.tvcf.co.kr/954431,AUG_240907
healthcare_pharma,제약/의료/복지,콜레올로지,빨간통만 기억하세요,2024-08-02,https://play.tvcf.co.kr/954469,AUG_240907
healthcare_pharma,제약/의료/복지,맨올로지 컷,누가 하든 성공할 수 있어요,2024-08-02,https://play.tvcf.co.kr/954478,AUG_240907
home_appliance,전기전자,더 라그나로크,추억으로 초대합니다,2024-08-02,https://play.tvcf.co.kr/954973,AUG_240907
home_living,생활/가정용품,비트캡슐 울트라콤팩트,빨래 양 적을 땐 비트캡슐 울트라콤팩트,2024-08-02,https://play.tvcf.co.kr/954475,AUG_240907
beverage_alcohol,음료/기호식품,레몬진,찐! 통레몬 탄산주 레몬진,2024-08-02,https://play.tvcf.co.kr/953398,AUG_240907
automotive,자동차/정유,제네시스 GV60,ready to drive?,2024-08-02,https://play.tvcf.co.kr/957088,AUG_240907
automotive,자동차/정유,T station,세상 편한 타이어서비스,2024-08-03,https://play.tvcf.co.kr/954600,AUG_240907
home_appliance,전기전자,LG webOS,"TV, 매년 새로워지다",2024-08-03,https://play.tvcf.co.kr/954459,AUG_240907
home_appliance,전기전자,LG 퓨리케어 오브제컬렉션 얼음정수기,처음.얼음.그대로.,2024-08-03,https://play.tvcf.co.kr/954460,AUG_240907
fnb,식품/제과,원할머니보쌈족발,No.1 보쌈의 정수,2024-08-03,https://play.tvcf.co.kr/953123,AUG_240907
telecom,정보통신,KT M모바일,참말로 그냥 M모 했씨유,2024-08-05,https://play.tvcf.co.kr/954648,AUG_240907
finance,금융/보험,KB자산운용,"다가오는 내일, 떠오르는 투자",2024-08-05,https://play.tvcf.co.kr/954666,AUG_240907
finance,금융/보험,KB국민은행,금융은 역시,2024-08-05,https://play.tvcf.co.kr/954665,AUG_240907
finance,금융/보험,KB국민은행,대한민국 모두의 금융 흥행작이 될 때까지,2024-08-05,https://play.tvcf.co.kr/954675,AUG_240907
fnb,식품/제과,동원 선물세트,온 가족 모두 참치~,2024-08-05,https://play.tvcf.co.kr/954740,AUG_240907
corporate_pr,기업PR,대상그룹,"당신의 삶이라는 멋진 영화 속, 맛있는 순간, 행복한 순간을 늘 함께해 온 우리.
우리는 모두 당신이 사람하는 대상입니다.",2024-08-05,https://play.tvcf.co.kr/954983,AUG_240907
public_gov,관공서/단체,한국화재보험협회,불안함을 피하지 마세요,2024-08-05,https://play.tvcf.co.kr/954658,AUG_240907
